Частота,Канал A,Канал B
(kГц),(В),(В)

14.11437988,0.00017345,0.00027946
14.16206360,0.00070275,0.00024392
14.20974731,0.00078044,0.00047521
14.25743103,0.00039109,0.00040535
14.30511475,0.00015230,0.00019875
14.35279846,0.00007362,0.00010031
14.40048218,0.00010275,0.00020767
14.44816589,0.00021131,0.00019311
14.49584961,0.00025834,0.00019692
14.54353333,0.00007020,0.00034296
14.59121704,0.00009818,0.00051186
14.63890076,0.00003540,0.00031019
14.68658447,0.00019111,0.00008117
14.73426819,0.00030780,0.00027894
14.78195190,0.00021155,0.00033051
14.82963562,0.00005774,0.00024766
14.87731934,0.00176322,0.00022833
14.92500305,0.02053052,0.00036934
14.97268677,0.05025394,0.00045494
15.02037048,0.04403176,0.00049905
15.06805420,0.01322882,0.00036544
15.11573792,0.00266442,0.00034928
15.16342163,0.00414246,0.00045895
15.21110535,0.00252381,0.00030957
15.25878906,0.00044600,0.00017627
15.30647278,0.00040533,0.00016086
15.35415649,0.00033984,0.00017119
15.40184021,0.00035600,0.00016503
15.44952393,0.00032047,0.00021540
15.49720764,0.00021655,0.00017123
15.54489136,0.00021760,0.00030182
15.59257507,0.00034609,0.00028245
15.64025879,0.00035025,0.00013026
15.68794250,0.00019595,0.00013015
15.73562622,0.00097846,0.00014270
15.78330994,0.00307979,0.00011885
15.83099365,0.00305384,0.00006951
15.87867737,0.00038721,0.00026144
15.92636108,0.00664816,0.00036838
15.97404480,0.01304673,0.00036955
16.02172852,0.00924693,0.00035118
16.06941223,0.00182928,0.00023900
16.11709595,0.00065392,0.00017740
16.16477966,0.00069974,0.00010332
16.21246338,0.00029514,0.00015440
16.26014709,0.00013894,0.00018312
16.30783081,0.00017955,0.00010119
16.35551453,0.00018294,0.00021292
16.40319824,0.00014021,0.00029549
16.45088196,0.00027881,0.00036753
16.49856567,0.00032961,0.00028867
16.54624939,0.00034902,0.00014483
16.59393311,0.00024509,0.00026276
16.64161682,0.00017052,0.00020571
16.68930054,0.00015480,0.00020938
16.73698425,0.00073120,0.00039356
16.78466797,0.00194233,0.00029397
16.83235168,0.00160768,0.00012450
16.88003540,0.00044710,0.00006453
16.92771912,0.00298003,0.00014851
16.97540283,0.00491189,0.00020275
17.02308655,0.00302318,0.00016750
17.07077026,0.00066712,0.00007453
17.11845398,0.00014542,0.00009874
17.16613770,0.00013024,0.00021549
17.21382141,0.00014362,0.00023696
17.26150513,0.00022443,0.00023639
17.30918884,0.00047818,0.00024203
17.35687256,0.00059608,0.00025704
17.40455627,0.00034939,0.00033613
17.45223999,0.00014735,0.00033105
17.49992371,0.00018301,0.00014210
17.54760742,0.00020163,0.00006433
17.59529114,0.00017649,0.00034320
17.64297485,0.00022159,0.00047737
17.69065857,0.00062370,0.00024873
17.73834229,0.00538887,0.00012184
17.78602600,0.00990552,0.00014054
17.83370972,0.00662303,0.00029603
17.88139343,0.00113415,0.00029320
17.92907715,0.00540790,0.00012216
17.97676086,0.00713442,0.00004265
18.02444458,0.00338999,0.00021079
18.07212830,0.00022539,0.00033120
18.11981201,0.00026728,0.00029834
18.16749573,0.00034168,0.00024233
18.21517944,0.00032178,0.00025647
18.26286316,0.00038998,0.00036451
18.31054688,0.00024308,0.00038728
18.35823059,0.00050719,0.00034427
18.40591431,0.00031754,0.00017045
18.45359802,0.00033376,0.00012247
18.50128174,0.00033338,0.00029878
18.54896545,0.00009975,0.00038389
18.59664917,0.00131053,0.00008299
18.64433289,0.00146877,0.00016628
18.69201660,0.09593583,0.00490503
18.73970032,0.46102540,0.02353823
18.78738403,0.67434380,0.03462754
18.83506775,0.36041630,0.01860349
18.88275146,0.05041763,0.00277547
18.93043518,0.00036141,0.00037636
18.97811890,0.00018771,0.00027706
19.02580261,0.00017106,0.00010484
19.07348633,0.00051856,0.00013040
19.12117004,0.00038419,0.00032320
19.16885376,0.00024973,0.00042808
19.21653748,0.00011560,0.00037105
19.26422119,0.00015328,0.00036541
19.31190491,0.00005940,0.00042571
19.35958862,0.00013006,0.00026085
19.40727234,0.00017923,0.00008063
19.45495605,0.00021840,0.00027305
19.50263977,0.00052755,0.00026166
19.55032349,0.00365516,0.00014203
19.59800720,0.00594824,0.00028148
19.64569092,0.00348028,0.00038093
19.69337463,0.00129609,0.00033627
19.74105835,0.00587388,0.00024171
19.78874207,0.00705040,0.00034895
19.83642578,0.00294803,0.00040767
19.88410950,0.00014131,0.00043152
19.93179321,0.00044797,0.00041738
19.97947693,0.00041647,0.00031163
20.02716064,0.00025070,0.00025636
20.07484436,0.00027344,0.00012311
20.12252808,0.00027179,0.00025540
20.17021179,0.00018754,0.00032896
20.21789551,0.00018301,0.00037403
20.26557922,0.00004760,0.00012476
20.31326294,0.00017951,0.00021267
20.36094666,0.00034086,0.00025193
20.40863037,0.00052390,0.00016824
20.45631409,0.00062595,0.00005565
20.50399780,0.00276353,0.00016503
20.55168152,0.01080073,0.00019181
20.59936523,0.01426543,0.00020741
20.64704895,0.00692952,0.00011836
20.69473267,0.00270646,0.00013005
20.74241638,0.00726222,0.00025400
20.79010010,0.00700709,0.00023828
20.83778381,0.00222895,0.00031985
20.88546753,0.00004316,0.00023137
20.93315125,0.00023297,0.00009097
20.98083496,0.00036001,0.00018116
21.02851868,0.00024401,0.00022679
21.07620239,0.00022032,0.00015259
21.12388611,0.00028894,0.00012357
21.17156982,0.00022855,0.00018349
21.21925354,0.00017577,0.00025115
21.26693726,0.00019246,0.00037458
21.31462097,0.00028396,0.00026043
21.36230469,0.00023109,0.00008020
21.40998840,0.00039454,0.00009019
21.45767212,0.00046589,0.00013939
21.50535583,0.00106689,0.00016121
21.55303955,0.00306910,0.00012088
21.60072327,0.00323967,0.00003722
21.64840698,0.00102867,0.00007163
21.69609070,0.00070416,0.00015168
21.74377441,0.00145958,0.00016725
21.79145813,0.00116182,0.00018893
21.83914185,0.00043567,0.00023907
21.88682556,0.00016797,0.00003653
21.93450928,0.00010504,0.00036035
21.98219299,0.00006938,0.00043604
22.02987671,0.00012397,0.00009428
22.07756042,0.00020429,0.00029218
22.12524414,0.00026981,0.00017265
22.17292786,0.00019053,0.00014599
22.22061157,0.00007365,0.00026550
22.26829529,0.00014098,0.00030519
22.31597900,0.00091318,0.00033472
22.36366272,0.00377597,0.00028087
22.41134644,0.00480877,0.00016144
22.45903015,0.00335227,0.00019302
22.50671387,0.02043379,0.00055043
22.55439758,0.05170896,0.00104752
22.60208130,0.04673748,0.00088111
22.64976501,0.01433309,0.00028264
22.69744873,0.00060145,0.00005691
22.74513245,0.00015757,0.00024155
22.79281616,0.00029218,0.00009264
22.84049988,0.00045040,0.00049250
22.88818359,0.00040671,0.00050984
22.93586731,0.00038518,0.00021212
22.98355103,0.00019959,0.00034627
23.03123474,0.00007096,0.00043968
23.07891846,0.00022757,0.00036306
23.12660217,0.00029823,0.00022631
23.17428589,0.00027823,0.00033385
23.22196960,0.00027831,0.00048687
23.26965332,0.00018986,0.00034511
23.31733704,0.00064789,0.00034506
23.36502075,0.00204602,0.00030628
23.41270447,0.00221953,0.00009573
23.46038818,0.00087930,0.00015882
23.50807190,0.00031783,0.00017934
23.55575562,0.00127527,0.00017642
23.60343933,0.00111307,0.00007171
23.65112305,0.00024574,0.00022780
23.69880676,0.00012224,0.00025186
23.74649048,0.00018001,0.00011478
23.79417419,0.00015214,0.00028069
23.84185791,0.00019624,0.00032119
23.88954163,0.00023628,0.00022290
23.93722534,0.00007184,0.00038428
23.98490906,0.00004049,0.00051290
24.03259277,0.00005145,0.00046096
24.08027649,0.00018283,0.00041536
24.12796021,0.00021093,0.00043045
24.17564392,0.00010094,0.00040359
24.22332764,0.00008989,0.00025882
24.27101135,0.00189070,0.00015769
24.31869507,0.01981590,0.00020755
24.36637878,0.04552691,0.00050889
24.41406250,0.03761270,0.00060172
24.46174622,0.01051266,0.00036833
24.50942993,0.00236620,0.00026426
24.55711365,0.00365648,0.00041825
24.60479736,0.00213229,0.00052915
24.65248108,0.00044448,0.00047332
24.70016479,0.00030362,0.00039477
24.74784851,0.00022132,0.00016274
24.79553223,0.00019706,0.00018753
24.84321594,0.00011458,0.00030026
24.89089966,0.00014521,0.00017148
24.93858337,0.00003751,0.00003715
24.98626709,0.00023699,0.00011113
25.03395081,0.00037406,0.00031302
25.08163452,0.00032785,0.00033036
25.12931824,0.00147679,0.00014088
25.17700195,0.00375717,0.00025965
25.22468567,0.00343352,0.00035707
25.27236938,0.00041572,0.00016124
25.32005310,0.00778826,0.00018568
25.36773682,0.01445181,0.00033217
25.41542053,0.00966321,0.00030029
25.46310425,0.00170037,0.00022113
25.51078796,0.00050376,0.00012833
25.55847168,0.00049525,0.00011960
25.60615540,0.00019362,0.00028282
25.65383911,0.00022357,0.00040656
