Время,Канал A
(uс),(В)

-388.79997375,0.97079380
-388.63997375,0.97079380
-388.47997375,0.97079380
-388.31997375,1.01489300
-388.15997375,1.01489300
-387.99997375,1.01489300
-387.83997375,1.05899200
-387.67997376,1.01489300
-387.51997376,1.05899200
-387.35997376,1.05899200
-387.19997376,1.01489300
-387.03997376,1.01489300
-386.87997376,1.01489300
-386.71997376,1.01489300
-386.55997376,0.97079380
-386.39997376,0.92654190
-386.23997376,0.92654190
-386.07997377,0.92654190
-385.91997377,0.88244270
-385.75997377,0.83834340
-385.59997377,0.79424420
-385.43997377,0.79424420
-385.27997377,0.75014500
-385.11997377,0.70589310
-384.95997377,0.70589310
-384.79997377,0.66179390
-384.63997377,0.57359540
-384.47997377,0.57359540
-384.31997378,0.52949610
-384.15997378,0.48524430
-383.99997378,0.44114510
-383.83997378,0.39704580
-383.67997378,0.35294650
-383.51997378,0.26459550
-383.35997378,0.22049620
-383.19997378,0.22049620
-383.03997378,0.13229770
-382.87997378,0.08819849
-382.71997379,0.04394665
-382.55997379,-0.00015259
-382.39997379,-0.08835109
-382.23997379,-0.13245030
-382.07997379,-0.17654960
-381.91997379,-0.22064880
-381.75997379,-0.30884730
-381.59997379,-0.30884730
-381.43997379,-0.39719840
-381.27997379,-0.44129770
-381.11997380,-0.48539690
-380.95997380,-0.52949610
-380.79997380,-0.57374800
-380.63997380,-0.61784720
-380.47997380,-0.66194650
-380.31997380,-0.70604570
-380.15997380,-0.75014500
-379.99997380,-0.79439680
-379.83997380,-0.83849600
-379.67997380,-0.88259530
-379.51997381,-0.92669450
-379.35997381,-0.92669450
-379.19997381,-0.97079380
-379.03997381,-0.97079380
-378.87997381,-1.01504600
-378.71997381,-1.01504600
-378.55997381,-1.10324400
-378.39997381,-1.10324400
-378.23997381,-1.10324400
-378.07997381,-1.10324400
-377.91997381,-1.10324400
-377.75997382,-1.14734300
-377.59997382,-1.14734300
-377.43997382,-1.14734300
-377.27997382,-1.14734300
-377.11997382,-1.10324400
-376.95997382,-1.10324400
-376.79997382,-1.10324400
-376.63997382,-1.10324400
-376.47997382,-1.10324400
-376.31997382,-1.05914500
-376.15997383,-1.01504600
-375.99997383,-1.01504600
-375.83997383,-0.97079380
-375.67997383,-0.97079380
-375.51997383,-0.92669450
-375.35997383,-0.88259530
-375.19997383,-0.83849600
-375.03997383,-0.83849600
-374.87997383,-0.79439680
-374.71997383,-0.70604570
-374.55997384,-0.66194650
-374.39997384,-0.61784720
-374.23997384,-0.57374800
-374.07997384,-0.48539690
-373.91997384,-0.44129770
-373.75997384,-0.39719840
-373.59997384,-0.30884730
-373.43997384,-0.26474810
-373.27997384,-0.17654960
-373.11997384,-0.13245030
-372.95997384,-0.04425184
-372.79997385,0.04394665
-372.63997385,0.08819849
-372.47997385,0.13229770
-372.31997385,0.22049620
-372.15997385,0.30884730
-371.99997385,0.39704580
-371.83997385,0.44114510
-371.67997385,0.48524430
-371.51997385,0.57359540
-371.35997385,0.66179390
-371.19997386,0.75014500
-371.03997386,0.79424420
-370.87997386,0.83834340
-370.71997386,0.92654190
-370.55997386,1.01489300
-370.39997386,1.05899200
-370.23997386,1.10309100
-370.07997386,1.19144300
-369.91997386,1.23554200
-369.75997386,1.27964100
-369.59997387,1.36784000
-369.43997387,1.36784000
-369.27997387,1.45619100
-369.11997387,1.45619100
-368.95997387,1.50029000
-368.79997387,1.54438900
-368.63997387,1.58848800
-368.47997387,1.63274000
-368.31997387,1.67683900
-368.15997387,1.67683900
-367.99997388,1.67683900
-367.83997388,1.72093900
-367.67997388,1.72093900
-367.51997388,1.72093900
-367.35997388,1.72093900
-367.19997388,1.72093900
-367.03997388,1.72093900
-366.87997388,1.72093900
-366.71997388,1.67683900
-366.55997388,1.67683900
-366.39997388,1.63274000
-366.23997389,1.63274000
-366.07997389,1.54438900
-365.91997389,1.54438900
-365.75997389,1.45619100
-365.59997389,1.45619100
-365.43997389,1.41209100
-365.27997389,1.32374000
-365.11997389,1.27964100
-364.95997389,1.23554200
-364.79997389,1.14719100
-364.63997390,1.10309100
-364.47997390,1.01489300
-364.31997390,0.92654190
-364.15997390,0.83834340
-363.99997390,0.75014500
-363.83997390,0.66179390
-363.67997390,0.57359540
-363.51997390,0.48524430
-363.35997390,0.39704580
-363.19997390,0.30884730
-363.03997391,0.22049620
-362.87997391,0.08819849
-362.71997391,0.04394665
-362.55997391,-0.08835109
-362.39997391,-0.17654960
-362.23997391,-0.26474810
-362.07997391,-0.35309920
-361.91997391,-0.48539690
-361.75997391,-0.57374800
-361.59997391,-0.66194650
-361.43997391,-0.79439680
-361.27997392,-0.83849600
-361.11997392,-0.97079380
-360.95997392,-1.05914500
-360.79997392,-1.19144300
-360.63997392,-1.27979400
-360.47997392,-1.36799200
-360.31997392,-1.41209100
-360.15997392,-1.54454200
-359.99997392,-1.58864100
-359.83997392,-1.67699200
-359.67997393,-1.72109100
-359.51997393,-1.80929000
-359.35997393,-1.89764100
-359.19997393,-1.89764100
-359.03997393,-1.98583900
-358.87997393,-2.02993900
-358.71997393,-2.07403800
-358.55997393,-2.11829000
-358.39997393,-2.16238900
-358.23997393,-2.20648800
-358.07997394,-2.20648800
-357.91997394,-2.25058700
-357.75997394,-2.25058700
-357.59997394,-2.25058700
-357.43997394,-2.25058700
-357.27997394,-2.25058700
-357.11997394,-2.25058700
-356.95997394,-2.25058700
-356.79997394,-2.20648800
-356.63997394,-2.16238900
-356.47997395,-2.11829000
-356.31997395,-2.07403800
-356.15997395,-2.02993900
-355.99997395,-2.02993900
-355.83997395,-1.89764100
-355.67997395,-1.85338900
-355.51997395,-1.80929000
-355.35997395,-1.72109100
-355.19997395,-1.67699200
-355.03997395,-1.54454200
-354.87997395,-1.50044300
-354.71997396,-1.36799200
-354.55997396,-1.32389300
-354.39997396,-1.19144300
-354.23997396,-1.10324400
-354.07997396,-0.97079380
-353.91997396,-0.83849600
-353.75997396,-0.75014500
-353.59997396,-0.61784720
-353.43997396,-0.48539690
-353.27997396,-0.35309920
-353.11997397,-0.26474810
-352.95997397,-0.13245030
-352.79997397,-0.00015259
-352.63997397,0.13229770
-352.47997397,0.26459550
-352.31997397,0.39704580
-352.15997397,0.48524430
-351.99997397,0.61769460
-351.83997397,0.75014500
-351.67997397,0.92654190
-351.51997398,1.05899200
-351.35997398,1.14719100
-351.19997398,1.27964100
-351.03997398,1.36784000
-350.87997398,1.50029000
-350.71997398,1.63274000
-350.55997398,1.76503800
-350.39997398,1.80913700
-350.23997398,1.94158800
-350.07997398,2.02978600
-349.91997398,2.16223600
-349.75997399,2.20633600
-349.59997399,2.25043500
-349.43997399,2.38288500
-349.27997399,2.47108400
-349.11997399,2.51533600
-348.95997399,2.55943500
-348.79997399,2.60353400
-348.63997399,2.69188500
-348.47997399,2.73598400
-348.31997399,2.73598400
-348.15997400,2.78008400
-347.99997400,2.78008400
-347.83997400,2.82418300
-347.67997400,2.82418300
-347.51997400,2.82418300
-347.35997400,2.82418300
-347.19997400,2.78008400
-347.03997400,2.78008400
-346.87997400,2.73598400
-346.71997400,2.69188500
-346.55997401,2.69188500
-346.39997401,2.60353400
-346.23997401,2.55943500
-346.07997401,2.51533600
-345.91997401,2.42698500
-345.75997401,2.33878600
-345.59997401,2.25043500
-345.43997401,2.16223600
-345.27997401,2.11813700
-345.11997401,1.98568700
-344.95997402,1.89748800
-344.79997402,1.80913700
-344.63997402,1.67683900
-344.47997402,1.54438900
-344.31997402,1.41209100
-344.15997402,1.27964100
-343.99997402,1.14719100
-343.83997402,1.01489300
-343.67997402,0.92654190
-343.51997402,0.75014500
-343.35997402,0.61769460
-343.19997403,0.48524430
-343.03997403,0.30884730
-342.87997403,0.13229770
-342.71997403,0.04394665
-342.55997403,-0.13245030
-342.39997403,-0.26474810
-342.23997403,-0.39719840
-342.07997403,-0.57374800
-341.91997403,-0.70604570
-341.75997403,-0.83849600
-341.59997404,-0.97079380
-341.43997404,-1.10324400
-341.27997404,-1.27979400
-341.11997404,-1.36799200
-340.95997404,-1.54454200
-340.79997404,-1.67699200
-340.63997404,-1.80929000
-340.47997404,-1.89764100
-340.31997404,-2.02993900
-340.15997404,-2.11829000
-339.99997405,-2.20648800
-339.83997405,-2.33893800
-339.67997405,-2.38303800
-339.51997405,-2.47123600
-339.35997405,-2.55958700
-339.19997405,-2.60368700
-339.03997405,-2.69188500
-338.87997405,-2.73598400
-338.71997405,-2.78023600
-338.55997405,-2.86843500
-338.39997405,-2.86843500
-338.23997406,-2.91253400
-338.07997406,-2.91253400
-337.91997406,-2.95678600
-337.75997406,-2.95678600
-337.59997406,-2.95678600
-337.43997406,-2.91253400
-337.27997406,-2.91253400
-337.11997406,-2.91253400
-336.95997406,-2.82433600
-336.79997406,-2.82433600
-336.63997407,-2.78023600
-336.47997407,-2.73598400
-336.31997407,-2.64778600
-336.15997407,-2.55958700
-335.99997407,-2.51533600
-335.83997407,-2.42713700
-335.67997407,-2.33893800
-335.51997407,-2.25058700
-335.35997407,-2.11829000
-335.19997407,-2.02993900
-335.03997408,-1.89764100
-334.87997408,-1.80929000
-334.71997408,-1.67699200
-334.55997408,-1.54454200
-334.39997408,-1.41209100
-334.23997408,-1.32389300
-334.07997408,-1.19144300
-333.91997408,-1.01504600
-333.75997408,-0.88259530
-333.59997408,-0.75014500
-333.43997409,-0.61784720
-333.27997409,-0.44129770
-333.11997409,-0.30884730
-332.95997409,-0.17654960
-332.79997409,-0.00015259
-332.63997409,0.13229770
-332.47997409,0.26459550
-332.31997409,0.39704580
-332.15997409,0.57359540
-331.99997409,0.70589310
-331.83997409,0.83834340
-331.67997410,1.01489300
-331.51997410,1.14719100
-331.35997410,1.27964100
-331.19997410,1.36784000
-331.03997410,1.50029000
-330.87997410,1.63274000
-330.71997410,1.76503800
-330.55997410,1.85338900
-330.39997410,1.98568700
-330.23997410,2.07403800
-330.07997411,2.16223600
-329.91997411,2.25043500
-329.75997411,2.33878600
-329.59997411,2.42698500
-329.43997411,2.51533600
-329.27997411,2.55943500
-329.11997411,2.60353400
-328.95997411,2.69188500
-328.79997411,2.73598400
-328.63997411,2.73598400
-328.47997412,2.78008400
-328.31997412,2.82418300
-328.15997412,2.82418300
-327.99997412,2.82418300
-327.83997412,2.86828200
-327.67997412,2.82418300
-327.51997412,2.78008400
-327.35997412,2.78008400
-327.19997412,2.78008400
-327.03997412,2.73598400
-326.87997412,2.69188500
-326.71997413,2.64763300
-326.55997413,2.60353400
-326.39997413,2.51533600
-326.23997413,2.51533600
-326.07997413,2.42698500
-325.91997413,2.33878600
-325.75997413,2.25043500
-325.59997413,2.16223600
-325.43997413,2.07403800
-325.27997413,1.98568700
-325.11997414,1.85338900
-324.95997414,1.76503800
-324.79997414,1.63274000
-324.63997414,1.54438900
-324.47997414,1.45619100
-324.31997414,1.27964100
-324.15997414,1.19144300
-323.99997414,1.10309100
-323.83997414,0.92654190
-323.67997414,0.79424420
-323.51997415,0.66179390
-323.35997415,0.57359540
-323.19997415,0.39704580
-323.03997415,0.26459550
-322.87997415,0.13229770
-322.71997415,0.04394665
-322.55997415,-0.08835109
-322.39997415,-0.22064880
-322.23997415,-0.35309920
-322.07997415,-0.48539690
-321.91997416,-0.61784720
-321.75997416,-0.75014500
-321.59997416,-0.83849600
-321.43997416,-0.97079380
-321.27997416,-1.05914500
-321.11997416,-1.19144300
-320.95997416,-1.32389300
-320.79997416,-1.36799200
-320.63997416,-1.45634300
-320.47997416,-1.54454200
-320.31997416,-1.67699200
-320.15997417,-1.72109100
-319.99997417,-1.80929000
-319.83997417,-1.85338900
-319.67997417,-1.94174000
-319.51997417,-2.02993900
-319.35997417,-2.07403800
-319.19997417,-2.07403800
-319.03997417,-2.16238900
-318.87997417,-2.16238900
-318.71997417,-2.20648800
-318.55997418,-2.25058700
-318.39997418,-2.25058700
-318.23997418,-2.25058700
-318.07997418,-2.25058700
-317.91997418,-2.25058700
-317.75997418,-2.25058700
-317.59997418,-2.25058700
-317.43997418,-2.25058700
-317.27997418,-2.20648800
-317.11997418,-2.20648800
-316.95997419,-2.11829000
-316.79997419,-2.11829000
-316.63997419,-2.07403800
-316.47997419,-2.02993900
-316.31997419,-1.98583900
-316.15997419,-1.89764100
-315.99997419,-1.85338900
-315.83997419,-1.76519100
-315.67997419,-1.72109100
-315.51997419,-1.63274000
-315.35997419,-1.54454200
-315.19997420,-1.50044300
-315.03997420,-1.36799200
-314.87997420,-1.27979400
-314.71997420,-1.19144300
-314.55997420,-1.10324400
-314.39997420,-1.01504600
-314.23997420,-0.92669450
-314.07997420,-0.79439680
-313.91997420,-0.70604570
-313.75997420,-0.61784720
-313.59997421,-0.48539690
-313.43997421,-0.39719840
-313.27997421,-0.30884730
-313.11997421,-0.22064880
-312.95997421,-0.08835109
-312.79997421,-0.00015259
-312.63997421,0.08819849
-312.47997421,0.22049620
-312.31997421,0.30884730
-312.15997421,0.39704580
-311.99997422,0.48524430
-311.83997422,0.57359540
-311.67997422,0.66179390
-311.51997422,0.75014500
-311.35997422,0.83834340
-311.19997422,0.92654190
-311.03997422,1.01489300
-310.87997422,1.10309100
-310.71997422,1.14719100
-310.55997422,1.19144300
-310.39997423,1.27964100
-310.23997423,1.36784000
-310.07997423,1.41209100
-309.91997423,1.45619100
-309.75997423,1.45619100
-309.59997423,1.54438900
-309.43997423,1.58848800
-309.27997423,1.63274000
-309.11997423,1.63274000
-308.95997423,1.67683900
-308.79997423,1.72093900
-308.63997424,1.72093900
-308.47997424,1.72093900
-308.31997424,1.72093900
-308.15997424,1.72093900
-307.99997424,1.72093900
-307.83997424,1.76503800
-307.67997424,1.72093900
-307.51997424,1.72093900
-307.35997424,1.67683900
-307.19997424,1.67683900
-307.03997425,1.63274000
-306.87997425,1.63274000
-306.71997425,1.63274000
-306.55997425,1.54438900
-306.39997425,1.50029000
-306.23997425,1.45619100
-306.07997425,1.45619100
-305.91997425,1.36784000
-305.75997425,1.32374000
-305.59997425,1.27964100
-305.43997426,1.19144300
-305.27997426,1.14719100
-305.11997426,1.10309100
-304.95997426,1.05899200
-304.79997426,0.97079380
-304.63997426,0.88244270
-304.47997426,0.83834340
-304.31997426,0.75014500
-304.15997426,0.66179390
-303.99997426,0.57359540
-303.83997426,0.52949610
-303.67997427,0.44114510
-303.51997427,0.39704580
-303.35997427,0.30884730
-303.19997427,0.22049620
-303.03997427,0.17639700
-302.87997427,0.08819849
-302.71997427,0.04394665
-302.55997427,-0.04425184
-302.39997427,-0.13245030
-302.23997427,-0.13245030
-302.07997428,-0.22064880
-301.91997428,-0.30884730
-301.75997428,-0.35309920
-301.59997428,-0.44129770
-301.43997428,-0.48539690
-301.27997428,-0.57374800
-301.11997428,-0.61784720
-300.95997428,-0.66194650
-300.79997428,-0.70604570
-300.63997428,-0.75014500
-300.47997429,-0.83849600
-300.31997429,-0.83849600
-300.15997429,-0.88259530
-299.99997429,-0.92669450
-299.83997429,-0.97079380
-299.67997429,-0.97079380
-299.51997429,-1.01504600
-299.35997429,-1.05914500
-299.19997429,-1.10324400
-299.03997429,-1.10324400
-298.87997430,-1.14734300
-298.71997430,-1.14734300
-298.55997430,-1.10324400
-298.39997430,-1.14734300
-298.23997430,-1.14734300
-298.07997430,-1.14734300
-297.91997430,-1.14734300
-297.75997430,-1.14734300
-297.59997430,-1.14734300
-297.43997430,-1.14734300
-297.27997430,-1.14734300
-297.11997431,-1.10324400
-296.95997431,-1.10324400
-296.79997431,-1.10324400
-296.63997431,-1.01504600
