Удаление хорды от оси, см	Интенсивность, отн. ед.
 2.20000000000000E+0000	 1.76936164087772E-0004
 2.25000000000000E+0000	 1.79437067729846E-0004
 2.30000000000000E+0000	 1.76852793521926E-0004
 2.35000000000000E+0000	 1.73555652962517E-0004
 2.40000000000000E+0000	 1.80998293626466E-0004
 2.45000000000000E+0000	 1.82313134758326E-0004
 2.50000000000000E+0000	 1.82989070326737E-0004
 2.55000000000000E+0000	 1.93578176466678E-0004
 2.60000000000000E+0000	 1.82869751729814E-0004
 2.65000000000000E+0000	 1.77358002903597E-0004
 2.70000000000000E+0000	 1.76137066118291E-0004
 2.75000000000000E+0000	 1.82200456728382E-0004
 2.80000000000000E+0000	 1.85116177179283E-0004
 2.85000000000000E+0000	 1.85016546548533E-0004
 2.90000000000000E+0000	 1.92559457544680E-0004
 2.95000000000000E+0000	 2.00202168345068E-0004
 3.00000000000000E+0000	 1.99852266575072E-0004
 3.05000000000000E+0000	 2.09287813505018E-0004
 3.10000000000000E+0000	 1.89975370348255E-0004
 3.15000000000000E+0000	 1.80128714369630E-0004
 3.20000000000000E+0000	 1.84468222056387E-0004
 3.25000000000000E+0000	 1.81596923857853E-0004
 3.30000000000000E+0000	 1.84162873725598E-0004
 3.35000000000000E+0000	 1.90120466473357E-0004
 3.40000000000000E+0000	 1.87038303990525E-0004
 3.45000000000000E+0000	 2.04324617146688E-0004
 3.50000000000000E+0000	 1.97541689010490E-0004
 3.55000000000000E+0000	 1.92619238481813E-0004
 3.60000000000000E+0000	 1.79124237507885E-0004
 3.65000000000000E+0000	 1.87920211195797E-0004
 3.70000000000000E+0000	 1.88725388791397E-0004
 3.75000000000000E+0000	 1.93653833543813E-0004
 3.80000000000000E+0000	 2.03898956079729E-0004
 3.85000000000000E+0000	 1.87011549817291E-0004
 3.90000000000000E+0000	 1.72426026724051E-0004
 3.95000000000000E+0000	 1.83184684830644E-0004
 4.00000000000000E+0000	 1.86494945588339E-0004
 4.05000000000000E+0000	 1.77894211934486E-0004
 4.10000000000000E+0000	 1.73803135510068E-0004
 4.15000000000000E+0000	 1.58717823900517E-0004
 4.20000000000000E+0000	 1.61754627742034E-0004
 4.25000000000000E+0000	 1.65515859285385E-0004
 4.30000000000000E+0000	 1.73549640925748E-0004
 4.35000000000000E+0000	 1.61873378325485E-0004
 4.40000000000000E+0000	 1.60559651084422E-0004
 4.45000000000000E+0000	 1.70020102518506E-0004
 4.50000000000000E+0000	 1.63514205574148E-0004
 4.55000000000000E+0000	 1.60007713715538E-0004
 4.60000000000000E+0000	 1.58841704530311E-0004
 4.65000000000000E+0000	 1.47783514663748E-0004
 4.70000000000000E+0000	 1.50580747849388E-0004
 4.75000000000000E+0000	 1.49373138509006E-0004
 4.80000000000000E+0000	 1.38034451826487E-0004
 4.85000000000000E+0000	 1.36851341731640E-0004
 4.90000000000000E+0000	 1.39072209997543E-0004
 4.95000000000000E+0000	 1.37824574741943E-0004
 5.00000000000000E+0000	 1.36320823751888E-0004
 5.05000000000000E+0000	 1.36233744457261E-0004
 5.10000000000000E+0000	 1.25435361719853E-0004
 5.15000000000000E+0000	 1.20892195456603E-0004
 5.20000000000000E+0000	 1.21345298341221E-0004
 5.25000000000000E+0000	 1.25852468647141E-0004
 5.30000000000000E+0000	 1.15399309422383E-0004
 5.35000000000000E+0000	 1.22064734245394E-0004
 5.40000000000000E+0000	 1.15703204296348E-0004
 5.45000000000000E+0000	 1.18876273418015E-0004
 5.50000000000000E+0000	 1.13924233169654E-0004
 5.55000000000000E+0000	 9.90935918209590E-0005
 5.60000000000000E+0000	 9.11465844592660E-0005
 5.65000000000000E+0000	 9.89795756471335E-0005
 5.70000000000000E+0000	 9.62958482691559E-0005
 5.75000000000000E+0000	 9.24483247427078E-0005
 5.80000000000000E+0000	 8.86731901239818E-0005
 5.85000000000000E+0000	 8.73364901563102E-0005
 5.90000000000000E+0000	 8.45759749793001E-0005
 5.95000000000000E+0000	 8.98383514826779E-0005
 6.00000000000000E+0000	 7.93252521721176E-0005
 6.05000000000000E+0000	 7.59027659196315E-0005
 6.10000000000000E+0000	 7.81384482165600E-0005
 6.15000000000000E+0000	 6.74145896592682E-0005
 6.20000000000000E+0000	 6.99582682931209E-0005
 6.25000000000000E+0000	 7.02202577434327E-0005
 6.30000000000000E+0000	 7.55101031198191E-0005
 6.35000000000000E+0000	 7.85147642678176E-0005
 6.40000000000000E+0000	 7.42003221615068E-0005
 6.45000000000000E+0000	 6.20524470001454E-0005
 6.50000000000000E+0000	 6.24762233010602E-0005
 6.55000000000000E+0000	 5.89047736034742E-0005
 6.60000000000000E+0000	 5.67222942291213E-0005
 6.65000000000000E+0000	 5.76682200487767E-0005
 6.70000000000000E+0000	 5.85684720167604E-0005
 6.75000000000000E+0000	 5.96089822763436E-0005
 6.80000000000000E+0000	 5.66483906235494E-0005
 6.85000000000000E+0000	 6.26851310608076E-0005
 6.90000000000000E+0000	 6.40541945898316E-0005
 6.95000000000000E+0000	 6.70598450131657E-0005
 7.00000000000000E+0000	 6.46121914281854E-0005
 7.05000000000000E+0000	 5.52571979504702E-0005
 7.10000000000000E+0000	 6.10343706491759E-0005
 7.15000000000000E+0000	 6.21996777780776E-0005
 7.20000000000000E+0000	 5.81879751049079E-0005
 7.25000000000000E+0000	 5.20710560146130E-0005
 7.30000000000000E+0000	 4.82223906384990E-0005
 7.35000000000000E+0000	 4.93449777379883E-0005
 7.40000000000000E+0000	 5.17189664134413E-0005
